TK,ΠΕΡΙΟΧΗ,ΧΩΡΑ,ΠΟΛΗ,ΝΟΜΟΣ
11143,ΑΓ. ΕΛΕΥΘΕΡΙΟΣ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
12351,ΑΓΙΑ ΒΑΡΒΑΡΑ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
15341,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
15342,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
15343,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
13561,ΑΓΙΟΙ ΑΝΑΡΓΥΡΟΙ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
13562,ΑΓΙΟΙ ΑΝΑΡΓΥΡΟΙ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
57003,ΑΓΙΟΣ ΑΘΑΝΑΣΙΟΣ,ΕΛΛΑΣ,ΘΕΣΣΑΛΟΝΙΚΗ,ΘΕΣΣΑΛΟΝΙΚΗ
17236,ΑΓΙΟΣ ΔΗΜΗΤΡΗΣ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
17341,ΑΓΙΟΣ ΔΗΜΗΤΡΗΣ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
17342,ΑΓΙΟΣ ΔΗΜΗΤΡΗΣ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
17343,ΑΓΙΟΣ ΔΗΜΗΤΡΗΣ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
